name,line
LAERTES,What I have said to you.
OPHELIA,"'Tis in my memory lock'd,"
OPHELIA,And you yourself shall keep the key of it.
LAERTES,Farewell.
LAERTES,Exit
LORD POLONIUS,"What is't, Ophelia, be hath said to you?"
OPHELIA,"So please you, something touching the Lord Hamlet."
LORD POLONIUS,"Marry, well bethought:"
LORD POLONIUS,"'Tis told me, he hath very oft of late"
LORD POLONIUS,"Given private time to you, and you yourself"
LORD POLONIUS,Have of your audience been most free and bounteous:
LORD POLONIUS,"If it be so, as so 'tis put on me,"
LORD POLONIUS,"And that in way of caution, I must tell you,"
LORD POLONIUS,You do not understand yourself so clearly
LORD POLONIUS,As it behoves my daughter and your honour.
LORD POLONIUS,What is between you? give me up the truth.
OPHELIA,"He hath, my lord, of late made many tenders"
OPHELIA,Of his affection to me.
LORD POLONIUS,"Affection! pooh! you speak like a green girl,"
LORD POLONIUS,Unsifted in such perilous circumstance.
LORD POLONIUS,"Do you believe his tenders, as you call them?"
OPHELIA,"I do not know, my lord, what I should think."
LORD POLONIUS,"Marry, I'll teach you: think yourself a baby,"
